FundingOrgName,ProjectReference,LeadROName,Department,ProjectCategory,PISurname,PIFirstName,PIOtherNames,PI ORCID iD,StudentSurname,StudentFirstName,StudentOtherNames,Student ORCID iD,Title,StartDate,EndDate,AwardPounds,ExpenditurePounds,Region,Status,GTRProjectUrl,ProjectId,FundingOrgId,LeadROId,PIId,fullname
EPSRC,EP/P013627/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Richards,David,John,,,,,,National Linear Infrastructure Laboratory - University of Southampton,2016-01-04,2016-01-04,26000000.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/P013627/1,9E5583EE-0237-450E-848F-F1C7D159DEF9,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,883FC01E-952E-45D1-9700-DD56821D9497,"Richards, David John"
EPSRC,EP/R011257/1,University of Southampton,Faculty of Engineering & the Environment,Research Grant,Richards,David,John,,,,,,UKCRIC National Linear Infrastructure Laboratory - University of Southampton,2017-01-04,2017-01-04,15643000.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=EP/R011257/1,7B557223-E202-4D08-801A-9E8677EBD29F,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,883FC01E-952E-45D1-9700-DD56821D9497,"Richards, David John"
ESRC,ES/L007517/1,University of Southampton,Statistical Sciences Research institute,Research Grant,Smith,Peter,William,,,,,,"Administrative Data Research Centre, England (ADRCE)",2013-01-10,2013-01-10,13693870.0,,South East,Closed,https://gtr.ukri.org:443/projects?ref=ES/L007517/1,9F55ED9E-2681-48AA-9704-CCFD4C308BA5,924BE15C-91F2-4AAD-941A-3F338324B6AE,30A429E3-83B7-4E41-99C0-14A144F07DFE,5066B3F2-C115-433A-B26F-18B87B3722A5,"Smith, Peter William"
BBSRC,BB/R012415/1,University of Southampton,Sch of Biological Sciences,Research Grant,Webb,Jeremy,Stephen,,,,,,National Biofilms Innovation Centre,2017-01-12,2017-01-12,12801513.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=BB/R012415/1,3F3CDB98-8900-47E6-ADFE-FF266C3060D6,2512EF1C-401B-4222-9869-A770D4C5FAC7,30A429E3-83B7-4E41-99C0-14A144F07DFE,21E13937-D928-40A1-B604-5D435BAF84FF,"Webb, Jeremy Stephen"
EPSRC,EP/V00784X/1,University of Southampton,Sch of of Electronics and Computer Sci,Research Grant,Ramchurn,Sarvapali,Dyanand,,,,,,UKRI Trustworthy Autonomous Systems Hub,2020-01-09,2020-01-09,11896883.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/V00784X/1,DFCEE1E3-C391-449E-94BC-216A3F80ACA1,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,8492832B-E4F7-4201-A8DC-52FA7B1CFBAD,"Ramchurn, Sarvapali Dyanand"
ESRC,ES/P000673/1,University of Southampton,"Sch of Economic, Social & Political Sci",Training Grant,Leonard,Pauline,Carole,,,,,,The South Coast ESRC Doctoral Training Partnership,2017-01-10,2017-01-10,11841418.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=ES/P000673/1,24F9F655-6FFB-4DD9-BD66-220EAE00FA5B,924BE15C-91F2-4AAD-941A-3F338324B6AE,30A429E3-83B7-4E41-99C0-14A144F07DFE,C33E610A-CE4D-47D0-830C-E678CE415421,"Leonard, Pauline Carole"
EPSRC,EP/R513325/1,University of Southampton,Sch of Mathematical Sciences,Training Grant,,,,,,,,,DTP 2018-19 University of Southampton,2018-01-10,2018-01-10,10403880.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/R513325/1,17CE068D-B020-40B5-9943-725DEEB01858,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
EPSRC,EP/N00762X/1,University of Southampton,Optoelectronics Research Centre (ORC),Research Grant,Payne,David,Neil,,,,,,National Hub in High Value Photonic Manufacturing,2016-01-01,2016-01-01,10355489.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/N00762X/1,691B0198-93FA-4C68-BC39-EBFB0FF4ACC4,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,0E50F983-2283-4E4F-AECA-050EACBCE395,"Payne, David Neil"
BBSRC,BB/T008768/1,University of Southampton,Sch of Biological Sciences,Training Grant,,,,,,,,,South Coast Biosciences Doctoral Training Partnership (SoCoBio DTP),2020-01-10,2020-01-10,10099355.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=BB/T008768/1,CEE62F52-394A-4329-9169-AE1418E6E031,2512EF1C-401B-4222-9869-A770D4C5FAC7,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
EPSRC,EP/N509747/1,University of Southampton,Research and Innovation Services,Training Grant,,,,,,,,,DTP 2016-2017 University of Southampton,2016-01-10,2016-01-10,9148506.0,,South East,Active,https://gtr.ukri.org:443/projects?ref=EP/N509747/1,D3CB5AF8-00C0-445F-A18D-F765902C59A4,798CB33D-C79E-4578-83F2-72606407192C,30A429E3-83B7-4E41-99C0-14A144F07DFE,,
