fullname,Department,aggregate funding
"Chinkin, Christine Mary","Centre for Women, Peace and Security",15949293.0
"Bakhshi, Hasan Mujtaba",Policy and Research,6355737.0
"Evans, Graeme Lorenzo",London College of Fashion,5644115.0
"Jones, Adele Diana",Sch of Human and Health Sciences,4303664.0
"Bailey, Rebecca Mary",Education and Outreach,2209190.0
"Wilson, Andrew Stephen",Sch of Life Sciences,2181204.0
"Facer, Keri Lee",Education,2032640.0
"Kiwan, Dina Jane",Education,2005633.0
"Balch, Alex Richard",Politics,1937271.0
"Chitty, Andrew John",Media Arts,1876789.0
"Clancy, Thomas Owen",School of Humanities,1840048.0
"Barton, Huw James",Sch of Archaeology and Ancient History,1750405.0
"Burdett, Charles Frederick",School of Modern Languages,1732153.0
"Cross, Eric Grahame",School of Arts and Cultures,1724969.0
"Carruthers, Gerard Charles",School of Critical Studies,1704245.0
"Thompson, Andrew Stuart",History,1680642.0
"Laurie, Graeme Thomas",Sch of Law,1672317.0
"Mithen, Steven John",Archaeology,1645301.0
"Muir, Stephen Phillip",Sch of Music,1549319.0
"Bales, Kevin Brian",Social Sciences,1505381.0
"Sneath, David Andrews",Social Anthropology,1404583.0
"Levinson, Martin Philip",Sch of Education and Lifelong Learning,1321352.0
"Jones, Phil Ian","Sch of Geography, Earth & Env Sciences",1276626.0
"Lloyd, Sarah Victoria",School of Humanities,1253955.0
"Swallow, Deborah Anne",Curating,1253820.0
"Williams, Gareth Howard",Sch of Social Sciences,1236035.0
"Smith, Barry Crawford",School of Advanced Study,1235731.0
"Keay, Simon James",Faculty of Humanities,1234979.0
"Miles, Andrew Graham",Social Sciences,1233870.0
"Steele, Thomas James",Institute of Archaeology,1201270.0
"Levinson, Martin Philip",Finance,1187771.0
"Harrison-Hall, Jessica Lucy",Asia,1141136.0
"Grierson, Michael Stuart",Computing Department,1121361.0
"Davis, Virginia Grace",Drama,1112802.0
"Parker, David Charles",School of Philosophy Theology & Religion,1112715.0
"Ormsby, Bronwyn Ann",Conservation,1092221.0
"Shaughnessy, Nicola Kerrie",Sch of Arts,1045722.0
"Trotter, David Andrew",European Languages,1020128.0
"Endfield, Georgina Hope",Sch of Geography,1008821.0
"Cooper, John Philip",History,962927.0
"Hornby, Emma Christine",School of Arts,962426.0
"Matthews, Roger John",Archaeology,951915.0
"Sobers-Khan, Nur Anna Helene",Collections and Curation,950431.0
"Snow, Stephanie Jane",School of Medical Sciences,926464.0
"Grenby, Matthew Orville","School of English Literature,Language an",887660.0
"Chitty, Andrew John",Loughborough University in London,885585.0
"Schmidt, Thomas Christian",Sch of Music,883504.0
"Rees Jones, Sarah Ruth",History,882732.0
"Bales, Kevin Brian",Sch of Politics & International Relation,878957.0
"Readman, Paul Andrew",History,865453.0
"Prescott, Andrew John",College of Arts,856294.0
"Ormrod, William Mark",History,853709.0
"Gooday, Graeme John",Sch of Philosophy,852589.0
"Chatterjee, Helen Jane",Museums and Collections,850417.0
"Allison, Penelope Mary",Sch of Archaeology and Ancient History,847959.0
"Holden, Claire Helen",Music Faculty,841904.0
"Metcalfe, Alexander James",History,841731.0
"Sloboda, John Anthony",Research and Enterprise,839909.0
"Coates, Richard Aylmer","Fac Creative Arts, Humanities & Education",838802.0
"Webber, Andrew John",German,831244.0
"Crick, Julia Catherine",History,829808.0
"Brown, Jessica Anne",Philos Anthrop and Film Studies,827771.0
"Los, Bettelou Louise",Sch of Philosophy Psychology & Language,827418.0
"Goldberg, David Martin",Archaeology,824617.0
"Pormann, Peter Ernst",Arts Languages and Cultures,823425.0
"Stirrup, David Francis",Sch of English,821911.0
"Young, Christopher John",German,816392.0
"Millen, Richard James",Research and Regional Services,815732.0
"Mulcahy, Linda Mary",Law Faculty,815728.0
"Daniels, Harry Richard",Education,813003.0
"Kerr, Rachel Clare",War Studies,811727.0
"Drabkin, William Morris",Faculty of Humanities,811233.0
"Daniels, Inge Maria",Sch of Anthropology & Museum Ethnography,808107.0
"Tilley, Elizabeth Kate","Faculty of Wellbg, Educ & Lang Sci(WELS)",805223.0
"McMullan, Gordon Alexander",English Language and Literature,804953.0
"Schofield, Phillipp Richard",European Languages,802411.0
"Treherne, Matthew James",School of Modern Languages and Cultures,800182.0
"Parsons, Peter John",Classics Faculty,797134.0
"Bird, Alexander James",School of Arts,796901.0
"Gatrell, Peter William",Arts Languages and Cultures,796657.0
"Bermel, Neil Halford",Sch of Language and Culture,794148.0
"Gordon, Eleanor Jean",School of Social & Political Sciences,791844.0
"Llewellyn, Mark Elliot",English,788083.0
"Northcott, Michael Stafford",Sch of Divinity,788046.0
"Bushell, Sally Caroline",English and Creative Writing,782735.0
"Eliot, Simon Jonathan",Inst of English Studies,782409.0
"Curry, Anne Elizabeth",Southampton Management School,782059.0
"Pollard, Carl Joshua",School of Humanities,780830.0
"Haffenden, John C",Inst of English Studies,767531.0
"Cramp, Rosemary Jean",Archaeology,765405.0
"Preston, Claire Elisabeth",English Drama American and Canadian Stu,765081.0
"Holloway, Margaret Louise",Social Sciences,760856.0
"Kelly, Catriona Helen",Medieval & Modern Languages Fac,756589.0
"Clark, Timothy Thorburn",Asia,755320.0
"Horak, Jana Mary",Research,746417.0
"Schofield, Thomas Philip",Bentham Project,745757.0
"Read, Stephen Louis",Philos Anthrop and Film Studies,741732.0
"Brooks, Laura Jeanice",School of Humanities,741514.0
"Rabett, Ryan John",Sch of Natural and Built Environment,741414.0
"Richmond, Oliver Paul",Social Sciences,739330.0
"Boyce, Sonia Elaine",CCW Grad School,737416.0
"Wright, Tom Fitzpatrick",Sch of English,729819.0
"Wessels, Bridgette Anne",Geography Politics and Sociology,725448.0
"Berry, Richard Ross",School of Social & Political Sciences,722147.0
"Vale, Malcolm Graham",History Faculty,721073.0
"Bowman, Alan Keir",Classics Faculty,719354.0
"Blunt, Alison Mary",Geography,719214.0
"Lindley, Phillip Graham",History of Art and Film,718801.0
"Preston, Claire Elisabeth",English,717479.0
"Jackson, Louise Ainsley","Sch of History, Classics and Archaeology",711627.0
"Jackson, Peter Darron",School of Humanities,711198.0
"Bulag, Uradyn Erden",Social Anthropology,711196.0
"Rippon, Stephen John",Archaeology,708228.0
"Davis, Jim Thomas","Sch of Theatre, Perform & Cult Poli Stud",690309.0
"Koch, John Thomas",Centre for Adv. Welsh and Celtic Studies,689167.0
"D'Ayala, Dina Francesca",Architecture and Civil Engineering,688213.0
"Salvesen, Alison Grace",Oriental Institute,687482.0
"Dean, Jeffrey John",ADM Birmingham Conservatoire,683712.0
"Lass, Roger George",English Language,683369.0
"Saunders, Graham James",Film Theatre and Television,677861.0
"Iriarte, Jose Antonio",Archaeology,675223.0
"Petrie, Duncan James",Theatre Film and TV,665129.0
"Walsh, Kevin James",Archaeology,664541.0
"Gildea, Robert Nigel",History Faculty,661311.0
"SMITH, Roland Ralph",Classics Faculty,657233.0
"Gray, Peter Henry",Sch of History and Anthropology,656600.0
"Sneath, David Andrews",Archaeology & Anthropology,655757.0
"Magowan, Fiona Caroline","Sch of Hist, Anthrop, Philos & Politics",652550.0
"Idler, Annette Iris",Politics and International Relations,652325.0
"Ebert, Philip Alexander",Philosophy,652305.0
"Alexander, Claire Elice",Social Sciences,646173.0
"Hamilton, Susan Dorothy",Institute of Archaeology,642619.0
"Brown, Matthew David",School of Modern Languages,638996.0
"Salway, Richard William",History,638926.0
"Questier, Michael Corrie",History,633365.0
"Ponting, Matthew James",Archaeology Classics and Egyptology,631406.0
"Hoskin, Philippa Mary",School of History and Heritage,626679.0
"Aarts, Sebastiaan Henri Lucas Marie",English Language and Literature,626524.0
"Carpenter, David Arscott",History,624735.0
"Bradley, Richard William",Ctr for Study of Phil & Natural Soc Sci,611261.0
"Schoch, Richard Walter","Sch of Arts, English and Languages",607311.0
"Sinclair, Alison Seaton",Spanish and Portuguese,600764.0
"Coates, Richard Aylmer",Fac of Arts Creative Ind and Education,597267.0
"Lyon, John M",School of Humanities,590672.0
"Martin, Wayne Michael",School of Philosophy and Art History,588661.0
"Lury, Karen Emelia",School of Culture & Creative Arts,584152.0
"Williamson, Magnus Guy",School of Arts and Cultures,583773.0
"Schofield, Phillipp Richard",History and Welsh History,583329.0
"Freeman, James George",School of Humanities,580403.0
"Thynne, Elizabeth Jane","Sch of Media, Film and Music",578384.0
"Swain, Simon Charles",Classics & Ancient History,577933.0
"Astbury, Katherine Michele",French Studies,576694.0
"Outhwaite, Ben Mathew",Cambridge University Library,575978.0
"Scott-Baumann, Alison Frances","Languages, Cultures, and Linguistics",568726.0
"Burn, Andrew Nicholas","Culture, Communication and Media",565383.0
"Roberts, Jonathan C.",Sch of Computer Science,564709.0
"Shuttleton, David Ewen",School of Critical Studies,561873.0
"Clackson, James Peter",Classics,558671.0
"Popple, Simon Edward",School of Media & Communication,557866.0
"Gosler, Andrew Graham",Zoology,554392.0
"Muller, Frank Lorenz",History,549224.0
"Iversen, Margaret Dana",School of Philosophy and Art History,545730.0
"Reynolds, Deirdre Aine",Arts Languages and Cultures,545247.0
"Hazell, Robert John",Political Science,534031.0
"Riley, Mykaell S",Westminster Sch of Arts,533032.0
"Hopkins, Peter Eric",Geography Politics and Sociology,526935.0
"Clayton, Martin Richard",Music,522023.0
"Taylor, Claire Louise",Modern Languages and Cultures,518841.0
"McCullough, Peter Eugene",English Faculty,514445.0
"Weyde, Tillman Erik",Computing,513320.0
"Bell, Melanie Jane","School of English Literature,Language an",509904.0
"Hoerl, Christoph Peter",Philosophy,508091.0
"Hugh-Jones, Stephen Philip",Social Anthropology,507739.0
"Anderson, David McBeath",Area Studies,504642.0
"Cloonan, Martin John",School of Culture & Creative Arts,503861.0
"Lines, David Alan",Centre for the Study of the Renaissance,500324.0
"Cormier, Kearsy Annette",Experimental Psychology,500154.0
"Wessels, Bridgette Anne",College of Social Sciences,498124.0
"Aldrich, Richard James",Politics and International Studies,496007.0
"Smith, Justin Timothy",School of Creative Arts Film and Media,492306.0
"Jones, Colin David",History,492146.0
"May, Steven W.","Sch of English Lit, Lang and Linguistics",491897.0
"Bull, Marcus Graham",School of Humanities,491115.0
"Madge, Nicola Jane",Sch of Health Sciences and Social Care,490237.0
"Prescott, Andrew John",Digital Humanities,484896.0
"Treadwell, W Luke",Oriental Institute,484276.0
"Oppenheimer, Joshua Lincoln",Westminster Sch of Arts,484035.0
"Oldfield, Jonathan Duncan","Sch of Geography, Earth & Env Sciences",482051.0
"Phillips, Richard Simon",Geography,480221.0
"Fulford, Michael Gordon",Archaeology,478367.0
"Smith, Justin Timothy","Sch of Film, Media and Communication",477089.0
"Squire, Vicki Jane",Politics and International Studies,475523.0
"Reif, Stefan C",Asian and Middle Eastern Studies,474899.0
"Cushion, Stephen Antony",Journalism Media and Cultural Studies,468991.0
"Scullion, Adrienne Clare",School of Culture & Creative Arts,468751.0
"Gellner, David Nicholas",Social & Cultural Anthropology,464953.0
"Pollard, Alan Mark",Archaeology and History of Art Res Lab,463103.0
"Crang, Philip Andrew",Geography,462724.0
"Williams, Christopher Mark",School of Arts and Humanities,462120.0
"Heddon, Deirdre Elizabeth",College of Arts,458809.0
"Ditchfield, Simon Richard",English and Related Literature,457645.0
"Chapman, Jane Louise",School of English and Journalism,456372.0
"Clough, David Lennard",Theology and Religious Studies,455062.0
"Shepherd, Elizabeth Jane",Information Studies,454213.0
"Hodgson, Katharine Merwinna",Modern Languages Russian,450757.0
"Shemilt, Elaine Katherine",Contemporary Art Practice,450473.0
"Ladd, D Robert",Sch of Philosophy Psychology & Language,449708.0
"Dance, Richard William",Anglo-Saxon Norse and Celtic,448418.0
"Curry, Anne Elizabeth",Faculty of Humanities,446291.0
"Brown, Alison Kay",School of Social Science,445153.0
"Schmidt, Thomas Christian",Arts Languages and Cultures,441395.0
"Postgate, John Nicholas",McDonald Institute Archaeological Res.,440462.0
"Sims-Williams, Patrick Philip",Welsh,439887.0
"Taylor, Mark Richard",Sheffield Methods Institute,439882.0
"Rodgers, Cory Cory",International Development,434440.0
"Jackson, Robert Mason",Institute of Education,434025.0
"Corbett, John Blair",School of Critical Studies,429996.0
"Hamlett, Jane Elizabeth",History,428241.0
"Carrette, Jeremy Richard",Sch of European Culture and Languages,427736.0
"britton, derek alan",Sch of Philosophy Psychology & Language,426599.0
"Sakr, Naomi Janet",Faculty of Media Arts and Design,424031.0
"Bevan, Andrew Haydn",Institute of Archaeology,423046.0
"Fedorowich, Edward Kent","Fac Creative Arts, Humanities & Education",423013.0
"Ainsworth, Peter Francis",French,420992.0
"Robinson, Joanna Kate",School of English,418636.0
"Watkinson, David Edward","Sch of History, Archaeology & Religion",417920.0
"Gameson, Richard Graham",History,417633.0
"Corrigan, Karen Patrice","School of English Literature,Language an",417178.0
"Hurley, Susan Lynn",School of Arts,415352.0
"Stock, Jay Theodore",Biological Anthropology,414477.0
"Scally, John Joseph",Information Services,412691.0
"Lambert, Stephen David","Sch of History, Archaeology & Religion",411262.0
"Aizlewood, Robin Peter",School of Slavonic & East European Studi,410942.0
"King, Victor Terence",School of Modern Languages and Cultures,410310.0
"Brand, Ralf Gregor","Environment, Education and Development",409427.0
"Rand, Michael Chaim",Asian and Middle Eastern Studies,406417.0
"Alexander, Marc Gabriel",School of Critical Studies,406351.0
"Pritchard, Duncan Henry",Sch of Philosophy Psychology & Language,404384.0
"Cook, Matthew David",History Classics and Archaeology,404130.0
"Gordon, Robert John",Pinter ctr for Performance and C Writing,402998.0
"Edbury, Peter William","Sch of History, Archaeology & Religion",398057.0
"McGavin, John Johnston",Faculty of Humanities,396880.0
"Higbee, William Edward",Modern Languages French,396714.0
"Lease, Bryce Salisbury","Drama, Theatre and Dance",396588.0
"Porter, Laraine Dawn",School of Media and Communication,395153.0
"Biggs, Michael Anthony",Social Sciences Arts and Humanities RI,394548.0
"Earl, Graeme Peter",Faculty of Humanities,389149.0
"Harper, John Martin",Sch of Music,385533.0
"Booth, Marilyn Louise",Sch of Literature Languages & Culture,385380.0
"Shennan, Stephen James",Institute of Archaeology,380249.0
"Trower, Shelley Jane",English and Creative Writing,379434.0
"Rayner, Samantha Julian",Information Studies,379247.0
"Dalrymple, Mary Elizabeth",Linguistics Philology and Phonetics,378907.0
"Lynch, Gordon Alexander",Sch of European Culture and Languages,377834.0
"Jones, Andrew Meirion",Faculty of Humanities,371774.0
"Conroy, James Charles",School of Education,371638.0
"Clarke, Catherine A",Faculty of Humanities,369762.0
"Mawer, Deborah Hazel",ADM Birmingham Conservatoire,369266.0
"Cragoe, Matthew Frind",Social Sciences Arts and Humanities RI,369259.0
"Newey, Katherine Mary",English Drama American and Canadian Stu,368503.0
"Balmer, Brian Leslie",Science and Technology Studies,368356.0
"Horrell, David George",Theology,366954.0
"Brooks, Nicholas Peter",History and Cultures,366679.0
"Ekblom, Paul John",Central Saint Martin's College,366060.0
"Flinn, Andrew David",Information Studies,364063.0
"McCleery, Alison Margaret","School of Life, Sport & Social Sciences",363485.0
"Burrows, Simon Frank",School of History,362340.0
"Ladyman, James Anthony",School of Arts,361998.0
"Saunders, Clare Elaine",Politics,361743.0
"Prescott, Andrew John",School of Critical Studies,361441.0
"Goode, Ian Simon",School of Culture & Creative Arts,359154.0
"McLuskie, Kathleen Elizabeth",Humanities,358435.0
"Sorabji, Richard Rustom",Philosophy,354229.0
"Dixon, Deborah Phyllis",Inst of Geography and Earth Sciences,350548.0
"Sheils, William Joseph",History,349897.0
"Moseley, Rachel Sara",Film & Television Studies,348176.0
"Neeleman, Adriaan Dirk",Phonetics and Linguistics,344707.0
"Dampier, Helen Catherine",Cultural Studies and Humanities,342699.0
"Chatterjee, Helen Jane",Genetics Evolution and Environment,339578.0
"Coyles, David James",Sch of Architecture and Design,339453.0
"Reid, Steven John",College of Arts,338236.0
"Divall, Colin Michael",History,337464.0
"Bailey, Helen Lousie",Institute for Research in Education,337016.0
"Fennell-Clark, Barbara Anne",School of Language and Literature,334574.0
"Hopkins, Carl Peter",Architecture,334164.0
"Ashton, Jenna Carine",Arts Languages and Cultures,333955.0
"Seaford, Richard Antony",Classics and Ancient History,333341.0
"Dawson, Jane Elizabeth",Sch of Divinity,332601.0
"Jones, Francis Redvers",School of Modern Languages,332145.0
"Bate, Andrew Jonathan",English and Comparative Literary Studies,331246.0
"Gaffney, Vincent Lawrence",History and Cultures,329745.0
"Coyne, Richard David",Edinburgh College of Art,328297.0
"Christie, Neil John",Sch of Archaeology and Ancient History,324990.0
"Smith, Richard Michael",Geography,324536.0
"Williamson, Philip Alan",History,323865.0
"Taberner, Stuart James","Sch of Languages, Cultures and Societies",323411.0
"Fensham, Rachel Susan",Dance Film and Theatre,323262.0
"Williams, Alexander John",Sch of Arts & Media,320893.0
"John, Juliet Victoria",English,319919.0
"Olson, Elizabeth Ann",Sch of Geosciences,317020.0
"Croucher, Karina Theresa",Sch of Life Sciences,316741.0
"Fletcher, Robert Stephen",History,316591.0
"Boswell, Matthew James",School of English,316471.0
"Wyver, John Frederick",Faculty of Media Arts and Design,316209.0
"Pahl, Kate Heron",Education,315956.0
"McClure, Ian Patrick",Hamilton Kerr Institute,314105.0
"Weindling, Paul Julian",Faculty of Humanities and Social Sci,306530.0
"Bell, Lucy Amelia",Languages and Translation Studies,305998.0
"Swift, Ellen Victoria",Sch of European Culture and Languages,305252.0
"Light, Ann Maxine","Fac of Arts, Design and Social Sciences",305243.0
"Huws, Bleddyn Owen",Welsh,304830.0
"Williams, Paul Martin",School of Arts,300412.0
"Davies, Matthew Ivor",UCL Institute for Global Prosperity,298525.0
"Hegarty, James Marcel","Sch of History, Archaeology & Religion",296697.0
"Payne, Leigh Ann",Area Studies,296259.0
"Gibson, Ruth Elizabeth",Art and Design,296050.0
"Andrews, Frances Elizabeth",History,292499.0
"Brooker, Peter John",Postgrad Sch of Crit Theory & Cult Stud,290045.0
"Laven, David Spencer",Arts Languages and Cultures,289305.0
"Noakes, Richard John",History,288526.0
"Melville, Charles P",Asian and Middle Eastern Studies,287975.0
"Silkstone, Francis William",Music,285276.0
"Armstrong, Jackson Webster","School of Divinity, History and Philosop",284273.0
"Mallinson, William James","Languages, Cultures, and Linguistics",284227.0
"Gibbon, Sarah Jane",Orkney College UHI,284081.0
"Loughrey, Joan Margaret",Law,281516.0
"Walker, Gillian Claire",Sch of Systems Engineering,281055.0
"Willis, David William",Linguistics Philology and Phonetics,279951.0
"Cathcart, Brian John",Sch of Humanities,279018.0
"Parker, David Charles",Law School,278888.0
"Redgate, Christopher Fredrick",Research,277479.0
"Campbell, Donald Murray",Sch of Physics and Astronomy,277240.0
"Burn, Lucilla Mary",Fitzwilliam Museum,277102.0
"Dix, Alan John",Computing & Communications,274983.0
"Willneff, Elizabeth Anne",Chem Eng and Analytical Science,274583.0
"Spicer, Andrew Howard",Fac of Arts Creative Ind and Education,273453.0
"Hughes, Mary Patrica",Admissions and Partnership Services,272223.0
"Pils, Eva Maria",Dickson Poon School of Law Departments,271289.0
"Westgarth, Mark Wilfred",Sch of Fine Art History of Art&Cult Stud,268630.0
"Stringer, Keith John",History,268231.0
"Boyce, Sonia Elaine",Wimbledon College of Art,263327.0
"O'Connor, Theresa Mary","Drama, Theatre and Performance",261792.0
"Wiggins, Alison Eve",School of Critical Studies,260472.0
"Sands, Philippe Joseph",Laws,260445.0
"Hammill, Faye Louise",English,260392.0
"Headley, Erin Jean",Faculty of Humanities,260354.0
"Wells, William Harry",Human Communication Sciences,259621.0
"Frith, Lucy Jane",Public Health and Policy,258812.0
"Highmore, Ben John","Sch of Media, Film and Music",258142.0
"Wolffe, John Russell",Religious Studies,257220.0
"Eagleton, Catherine Teresa",Coins and Medals,256158.0
"Plastow, Jane Elizabeth",School of English,255216.0
"Millar, Robert McColl",School of Language and Literature,254877.0
"Porter, Venetia Ann",Middle East,253998.0
"Marsden, Alan Alexander",Lancaster Inst for the Contemporary Arts,253963.0
"Hopkins, Timothy John","Sch of Media, Film and Music",253756.0
"Carmona, Matthew Peter",Bartlett Sch of Planning,252509.0
"Rea, Lauren June",Sch of Language and Culture,251407.0
"McKerrell, Simon Alasdair",School of Arts and Cultures,248714.0
"Gardner, Katy Jane",Sch of Global Studies,244567.0
"Roberts, Hugh Gerald",Modern Languages French,244376.0
"MacKian, Sara Catrin",Faculty of Health & Social Care,244275.0
"D'Ayala, Dina Francesca",Civil Environmental and Geomatic Eng,243017.0
"Ashley, Susan L.T.","Fac of Arts, Design and Social Sciences",242369.0
"MacRaild, Donald MacLeod","Fac of Arts, Design and Social Sciences",240939.0
"Ward, Matthew Charles",History,240262.0
"Bressey, Tanya Caroline",Geography,239011.0
"Dibble, Jeremy Colin",Music,238944.0
"Whitehead, Christopher Mark",School of Arts and Cultures,238459.0
